ea1,ea2
327,490
327,250
327,150
327,400
327,506
327,384
327,446
327,252
327,540
327,579
327,495
327,321
327,570
401,510
401,85
401,190
401,148
401,357
401,37
401,10
401,135
401,105
401,23
401,413
401,168
401,458
401,381
0,510
0,85
0,190
0,148
0,357
0,37
0,10
0,135
0,105
0,23
0,413
0,168
0,543
105,272
105,277
105,435
105,4
105,246
105,33
105,579
105,66
105,113
105,541
105,462
105,236
105,562
105,177
105,389
105,156
105,182
105,217
105,458
105,320
105,516
105,327
105,401
105,378
105,170
105,428
105,0
105,29
105,46
105,500
105,62
105,41
105,73
105,56
105,169
105,118
105,203
105,592
105,3
105,207
105,568
105,6
105,460
105,153
29,510
29,85
29,190
29,148
29,357
29,37
29,10
29,135
29,105
29,23
29,413
29,168
23,272
23,277
23,435
23,4
23,246
23,33
23,579
23,66
23,113
23,541
23,462
23,236
23,562
23,177
23,389
23,156
23,182
23,217
23,458
23,320
23,516
23,327
23,401
23,378
23,170
23,428
23,0
23,29
23,46
23,500
23,62
23,41
23,73
23,56
23,169
23,118
23,203
23,592
23,3
23,207
23,568
23,6
23,460
23,153
23,181
23,465
46,510
46,85
46,190
46,148
46,357
46,37
46,10
46,135
46,105
46,23
46,413
46,168
46,529
46,591
46,121
46,139
46,275
46,339
46,73
46,452
46,209
46,334
46,395
46,161
46,467
46,134
46,224
46,81
46,91
46,164
46,535
46,362
46,352
46,186
46,544
46,288
46,328
46,80
46,65
500,510
500,85
500,190
500,148
500,357
500,37
500,10
500,135
500,105
500,23
500,413
500,168
500,316
500,337
500,246
585,396
585,522
585,133
585,442
585,250
585,477
585,262
585,28
396,585
28,585
233,543
30,543
20,173
20,379
20,152
20,97
20,31
20,295
20,506
133,585
133,209
133,310
133,395
133,161
133,467
133,134
133,224
133,81
381,401
181,23
181,218
162,297
162,34
162,590
162,503
162,536
162,232
162,183
162,552
162,237
162,409
130,297
130,34
130,178
130,507
130,433
130,50
130,320
130,322
130,459
130,249
130,419
130,296
130,120
130,309
34,225
34,162
34,130
34,242
34,292
34,91
34,505
34,402
34,328
34,70
34,600
34,100
34,219
34,605
34,198
34,556
34,144
34,306
34,66
437,475
437,26
437,432
437,214
437,542
437,329
437,274
437,182
437,349
437,207
437,250
502,475
502,26
502,432
502,214
502,542
502,329
502,274
502,182
502,349
502,207
502,250
502,601
502,504
26,437
26,502
26,242
26,292
26,91
26,505
26,402
26,328
26,70
26,600
26,100
26,219
26,605
26,198
26,556
26,144
26,306
26,66
432,451
432,216
432,318
432,161
432,502
432,437
216,432
216,214
216,542
216,329
216,274
216,475
216,182
216,349
216,207
216,250
214,451
214,216
214,318
214,161
214,502
214,437
542,451
542,216
542,318
542,161
542,502
542,437
542,356
542,543
329,451
329,216
329,318
329,161
329,502
329,437
329,188
329,76
329,540
318,432
318,214
318,542
318,329
318,274
318,475
318,182
318,349
318,207
318,250
274,451
274,216
274,318
274,161
274,502
274,437
274,39
274,605
274,505
274,289
274,525
274,368
349,451
349,216
349,318
349,161
349,502
349,437
209,178
209,112
209,175
209,419
209,435
209,385
209,270
209,378
209,61
209,599
209,56
209,253
209,153
209,83
209,160
209,518
209,464
209,46
209,207
209,133
310,133
395,149
395,226
395,133
395,297
395,571
395,52
395,46
395,320
395,415
395,474
149,395
149,161
149,467
149,134
149,224
149,81
226,395
226,161
226,467
226,134
226,224
226,81
134,149
134,226
134,133
134,297
134,571
134,52
134,46
134,320
134,415
134,474
571,395
571,161
571,467
571,134
571,224
571,81
571,390
571,231
571,472
571,603
571,308
571,155
571,283
571,183
52,395
52,161
52,467
52,134
52,224
52,81
224,149
224,226
224,133
224,297
224,571
224,52
224,46
224,320
224,415
224,474
415,395
415,161
415,467
415,134
415,224
415,81
474,395
474,161
474,467
474,134
474,224
474,81
474,218
507,130
507,350
507,161
507,572
507,82
507,285
50,130
50,350
50,161
50,572
50,82
50,285
350,178
350,507
350,433
350,50
350,320
350,322
350,459
350,249
350,419
350,296
350,120
350,309
322,130
322,350
322,161
322,572
322,82
322,285
322,264
322,272
322,332
322,412
459,130
459,350
459,161
459,572
459,82
459,285
572,178
572,507
572,433
572,50
572,320
572,322
572,459
572,249
572,419
572,296
572,120
572,309
572,543
249,130
249,350
249,161
249,572
249,82
249,285
82,178
82,507
82,433
82,50
82,320
82,322
82,459
82,249
82,419
82,296
82,120
82,309
296,130
296,350
296,161
296,572
296,82
296,285
285,178
285,507
285,433
285,50
285,320
285,322
285,459
285,249
285,419
285,296
285,120
285,309
120,130
120,350
120,161
120,572
120,82
120,285
309,130
309,350
309,161
309,572
309,82
309,285
599,529
599,591
599,121
599,139
599,275
599,339
599,73
599,452
599,209
599,334
56,510
56,85
56,190
56,148
56,357
56,37
56,10
56,135
56,105
56,23
56,413
